gap_group_id	source_name_normalized	work_type	occurrence_rows	project_kinds	source_paths	review_keys	source_keys
NM-0001	가설 경사로	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 가설 경사로|댐 > 안전가시설작업 > 가설 경사로|빌딩 > 안전가시설작업 > 가설 경사로|아파트 > 안전가시설작업 > 가설 경사로|지하철 > 안전가시설작업 > 가설 경사로|터널 > 안전가시설작업 > 가설 경사로	3d796d1b107b6c20a063a64e6210fd8fe47ee1383906ae8c12a4ea89538c09fc|5212b14f972aba363c855713008f8eeecd5886f7e1671d10853ec376a9f7e1d3|5a1b1e859d074922894e902375b945b389077d3910315ebbcd90d2644ead8de8|5bd33cb6b0f11e74c5ab18d2f0c4bb04fd956773bed667b8d94490d368e00674|a224d701b2610fc61dab3dc3b7f34944f277cba0a98c0f2c893c4cf11d6f2019|fc7b70e1f0620146c9328b2f04f36ce9c9f3c904d8cd9ab3f55f8ef75284b101	676045fdf3e299c919e6d92d8cd50ffc4d1847e6f8fdb7f291bbf8d3a6b80b75|8993d1081a9116937431842abe367e7eeee504bf4884195b0fb9db94a5c394af|90de93f8f59b62bea8cddb696eaa3388642ef19b6bf4316efde52fba07e8a281|b9d2df01c6381b471a856bb11472b91880cd4067ad7f7da3e686dc2e39cfb6ec|c07699a02282e60619084ad295f1a4eb2bf0e5042f5d45aa2af473f525565d51|f6727b33cd5b8843c41c30b73b67207100f0f6c537d9d326579137d416e58588
NM-0002	가설통로 또는 가설계단	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 가설통로 또는 가설계단|댐 > 안전가시설작업 > 가설통로 또는 가설계단|빌딩 > 안전가시설작업 > 가설통로 또는 가설계단|아파트 > 안전가시설작업 > 가설통로 또는 가설계단|지하철 > 안전가시설작업 > 가설통로 또는 가설계단|터널 > 안전가시설작업 > 가설통로 또는 가설계단	256427b48e425a1265a615aa248c218359cb762659184b09300e6acd4bebc1a7|5e575fb38fba7acc4943d9e34cfc6295afca859dccac25c80f7313d436ca2c31|693f9a41c9be209e25390ddf3b2a9466a522d7fec2fa831a19c620210f9d82d3|7d822c67a35486d5bf0dbcf380a35a86247a5fd6627d43ff1964e56b7e217cfa|87697823f0856f59534d8008d95a265875ec853c8a09e3cec69cb0b1704cefcb|ae4bdebc88004019d46b944ad09e1e6d76456e1f69ec4aa32af418349541b3a9	273ec1788daebd1c297192185338ab5c52b386a7889ad363a69ee7fce9ce5e08|5a8cecc9525bb45ffa825d9eaebc84e28ed622d0530f80466aebb567e427a896|7c04fecca32c5ead4d4b592b0cdeeaacc9c941e899d330a8352a7ebe3355caa0|cada1cd7f6d0fe613d9951e45554a562f9f50c2c4098f74140c358529138d317|e7665335cc322beabbe615009722646c0ce1dba8fffa265bc0cb4895a20cfcc9|f217269ef64ca9569d41e3dae50b2a16cd2ff269068f10d1eca7c5cdc89f1f82
NM-0003	개구부	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 개구부|댐 > 안전가시설작업 > 개구부|빌딩 > 안전가시설작업 > 개구부|아파트 > 안전가시설작업 > 개구부|지하철 > 안전가시설작업 > 개구부|터널 > 안전가시설작업 > 개구부	0e54e58f28e54b2577b48d5382606eef49ed5f0633f9d7104d5ac797f62724f2|16f55e54ad7e26cadc227b0281edeb4ba92825e00f54f4b4318bbfe3322bc11c|22e6be61b80b53f166426518a177c3c9e5975c9fd7ac12a7e8756a584cb91c15|4fc767bc219c65f95e78c8bf9ebf58b36db5786fe6e4b85e45fb92b00fddd3c6|7e97e3823526b98b9939ed0364d6308b0cac7d0efd9156a466e286de69eebb00|a3efcf1cf31d9570b2abe7964f5b990845f29a1252446941fa7cab0e1b7b9856	6d7b3cb1434173048e13c3c5195f25c0454652b6bd8791505974fc43cbf2959c|78b434ca0fc713e089c1e63faf7f01fc5cbac9be97a5a0d9d8482418792a3c6d|82cd1b3a10bebc24d585aaa3f94eff29acba12e6fd22b60625bf7ee27207b17e|b2fa0d981d88286a47696ecb6c14dc5303b1af9580a7a20d4b511682d1dfceb6|d0610bb7f28f8ffa95128350d039a09aaecd84271650731a6207061970c4daec|e34e0c97f475de5bd952df5a09e26f4de535cd3934a9c12bc6a2b97450457033
NM-0004	경사지붕	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 경사지붕|댐 > 안전가시설작업 > 경사지붕|빌딩 > 안전가시설작업 > 경사지붕|아파트 > 안전가시설작업 > 경사지붕|지하철 > 안전가시설작업 > 경사지붕|터널 > 안전가시설작업 > 경사지붕	349b683ffc4626dee10fedf18cefc16501a641697a408bbd7934d236bba0923b|6f789f1880f7587463615b302a15c8bceed3f8ffba128a45ad25ecec76c3021a|a9b56a00f859948e40a29efc6d78f3ee3adf174dbfb1cb139d9dd1d7ff1e48d5|e27ad6dd805ee708823705cabf5f27b5043944cd1447c4697ac6ba184b699cb5|ed684b3b36397b3cbd8c15f1a1952ef395e17c7002ec3a7b4a71d7ead22afa85|f579f4ce14d0ffeac1c52a8fb7ea91f6ee92fc17ef0c3ee31d8404ca3daa596a	445c759f7f43ba2c694678f0514e0baa4c4119bee2a9ff5ff362aa81845b92f2|56dbb446af9811709d22e7634d1a7934f28e9832090c9acb5a588a15fd83b61b|af27b18df7f84c7eb22d81b98bef2c11f74950f7cc7b69e690183e7889258a7a|b5f1210b27d626cea8c4aec82ea4607c30b2364d97ef85c666310da9f1e21350|bbf6e226a5e499ee1107466d0f60efe66dd999d4c3b0d639b6b2dcab8c351563|f4911a245d0b3f2852b345364c0e352650ecf31ad2cb7ed0aa127f52b48364ff
NM-0005	곤도라	양중기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 양중기작업 > 곤도라|댐 > 양중기작업 > 곤도라|빌딩 > 양중기작업 > 곤도라|아파트 > 양중기작업 > 곤도라|지하철 > 양중기작업 > 곤도라|터널 > 양중기작업 > 곤도라	23d4e04072a03aa7d9e1b898a514dad2a7c8c297288ef3a6a89cb1460aa8f68a|377bacdf74e1da08ece6646be99cbace5a28452c5ae863d66c59292633bea304|72be10a34c65c2fee658c2fd1e491d8cf47afb26fc471e37fcdab07594febd32|b21839690a6f517c92744019964666b9c597194a5c48be28c3ad869ad39eea42|d6ca89c2fa8872b74d22e4b12508cb9603e53b2e7ddb6e2657d8443a009b6710|f853175703529e8a6376769178e8eed1a784bd0066388b81d17ad8452fa54605	057c8b2452e839c86043367e0b4b9448b3c3073e51d5c491866598f6196c4e3a|24a47694b11714e7438ffece3748fea227008c59a13e80374c2da22a1c73874d|3320adc21f5c71d9693bc373dea401d4a512de1e509be14f252103b4b727b3c6|43784c7564410a0ec1871ff8b41104d551f6ee09eb643a75c2cd629eb8c998b4|56c6c87b3563ac5309d5bc90ecb87187b55ac6b965443d6eabd2876dc959effe|63704ae21827dc2741e02e1db3e78a833a5b592adc86e6f52065945a6bb822ff
NM-0006	공기 압축기	위험기계기구작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 위험기계기구작업 > 공기 압축기|댐 > 위험기계기구작업 > 공기 압축기|빌딩 > 위험기계기구작업 > 공기 압축기|아파트 > 위험기계기구작업 > 공기 압축기|지하철 > 위험기계기구작업 > 공기 압축기|터널 > 위험기계기구작업 > 공기 압축기	14fc92af4b63afd374cace7b2a37c0e176556bfd76b1eec7645efdb4da526b0c|b23f66ad9d34d0587b3c67f8e6cca1bc59e2e1f4e1af177cadff0e45ac1d7ae4|c0ef5af3ccf551ebd4026169574cb2599fc80e202e20a34745888466bf3f81bf|c1aa8e5cc870c3e07145c55cb6cdd39bf02449e306f1a4e27d08d6c8468ebf68|f241b24d96ad2274afeba1a1ae3047b7e998de8da3c7f48cb447f0db9c9f9fd2|f7685d11f1e777693639f8f4af370dffc2c823204e7a89354892f70fde4ab5f5	4d84eacd00fcd96a2d339fd875ac80e6d832b4ecd8c4839b4cad4541c2cf4f9c|597b8be13c8763549037d1548dce5d27fc944b3074942064a48fc1d34b1b2d8f|6199b56acf90614316d21db982a227222346ca35ddbec719b84157a57d54ff27|b20583a238529782a83c794f5669ff5ec4077d02453756b5d81b33e028baa577|f43ada026dd073162b39c258aebf80c883007ed37134a6b4e019b9ca035c5bf2|f4c27132c554127f8056d351d97695b06615ac31ef0d82a5f242917c06f3c193
NM-0007	교류아크 용접기	가설전기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 가설전기작업 > 교류아크 용접기|댐 > 가설전기작업 > 교류아크 용접기|빌딩 > 가설전기작업 > 교류아크 용접기|아파트 > 가설전기작업 > 교류아크 용접기|지하철 > 가설전기작업 > 교류아크 용접기|터널 > 가설전기작업 > 교류아크 용접기	05bb1b05b8f08812c47f6e1a718cb6625d590133f9edf9dbe13e2be62ccdcad8|09b4cf59fad04b9ec50844c29d267e634253d4a238e476322c8cdf98dea0cc71|85810e88f2173514782e39eb85d2ac44875328c54e86ec18ca60446a41b31fcf|d391a5872ef7c4361fc4d8ca596f5e821bc54eb314329058a2771826fa6ab206|e0191f88cd072359bf9a3b9ac91f7623b364b48d31125938958d2594e9a9cabb|e0574d23caa2a6f730514bebe10ea87dfb215cc79f4771b62bce8d4877648dd3	2644afc54e043783211e17c16ea64156c9a4bdd1d912d842d335300720844666|3a246af5cd4d88cdb28f6a604ef760436407366119009b2bbfeae768eea12232|87f146cb315b5b7a0965b7c06ae4b25bab7aeea77c4d809a68fa334c33680005|cb385c6026aff9239bb2001fa85d8d5bd0a270b9a3874bfe8b72bf1d3f3b78db|dcaea764b9d35409e620781b9b286f3bc8caa353ccadb5f4d64d995bbd71693a|e9c796a0dfc58534096bc061baba4a38f9907df081a3ab972664afad524fb912
NM-0008	굴착선단부	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 굴착선단부|댐 > 안전가시설작업 > 굴착선단부|빌딩 > 안전가시설작업 > 굴착선단부|아파트 > 안전가시설작업 > 굴착선단부|지하철 > 안전가시설작업 > 굴착선단부|터널 > 안전가시설작업 > 굴착선단부	2cf1e05e868594ea184c7f9853fe19eb50aa6a803e0fe8100413ed160a2bf874|3152576d6cb77a71a49cd9e224d005a2f3585321375e9ad0513339dfe3042b12|5763b44b20a64ec11d48a86918186933664996e00040089fce603ad64cf20a1d|75fca674e49fbc4aab06eb27565960712e3d8fcd146a499a72c281954612155c|d26a803e8967210bf156306d2a848ac64eb6f0c18df3223ef3485c5326513cd3|e584dd75cf76994f275fa712da80793edbede7ab190850db3fc5155421f8562c	0286a110e0040c6c283cd38b1c5d64c97be5662b5bed3f52ca59eaf0b0a9ae81|5626a6aaf92bd1d33219d6aa9f71a3577a4e10f0645afa1ab0b5c0b173cbe317|6eb276897203e8ce18704f7dae8bc57702dc3575dca0da67752236405306584c|83b5312231d6cadc17c4f77b775ce355b46a195e5bda9ff7cd23ac5128e0ca03|e00b161f7e4f267073b0896af31ec117beea9c6aeb9d44224acac6d5eb9a63b9|ef26c5370f6ef954c8c7b1be00c5bd4e3b97b3f08a53f4be3afb28ce60fe69b1
NM-0009	그라우팅 장비	위험기계기구작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 위험기계기구작업 > 그라우팅 장비|댐 > 위험기계기구작업 > 그라우팅 장비|빌딩 > 위험기계기구작업 > 그라우팅 장비|아파트 > 위험기계기구작업 > 그라우팅 장비|지하철 > 위험기계기구작업 > 그라우팅 장비|터널 > 위험기계기구작업 > 그라우팅 장비	294cf2330817a0b38428adee21b08546fdc219c36f771491c62ae99e5aedbfda|6c2d470bc22cebfffef394a5b8e9be04698516bfbe0945a9508a25ae7be73877|da4114fc765f6aca46a3b7634fc321f9ee97b6e8208fae60075f0849a9dd1e3a|e145696b1c311adcc3c996f5ab63a8c7bbb1fc5a233dd0e228a98e1225e6ff95|f149c3d25c591cb0ae6428681d78d09c6771b0a51dbd42a9923acd2418cb704a|fa86a632200154180feeff1935e25c742c3444e01c95862f7cbe35692c54d113	18d621c09ea5c09722c6485972f3ba15c59228f8c337bc03f1b8bb0a4a87e20f|911bce63556fb2de20ce75eb6cbc8a0d31cf5889844475857f4f5724bfaa37b7|a003d155b5f04f619d0063df03150ac73a6cc704fd82e9a79769f2fde56bb113|a0c1b7a2f500a47401ec43aa9678fb0934863f948acb658efe01df96a19a655c|d35c4fc79dc02972722afee7b4944499f457262a1318b0cef9cf350d6f1af389|faf00d6b07d1884c46415783ff601f4f6455e07a0620e426181cbf5f64ee2e87
NM-0010	낙하물 방지망	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 낙하물 방지망|댐 > 안전가시설작업 > 낙하물 방지망|빌딩 > 안전가시설작업 > 낙하물 방지망|아파트 > 안전가시설작업 > 낙하물 방지망|지하철 > 안전가시설작업 > 낙하물 방지망|터널 > 안전가시설작업 > 낙하물 방지망	35828b60eeee51002feacee769ab96296b33b562bbba22749b271082b4b91c14|4567390fe8df67e946990de3bccf0174d2393106e85d54dc924cf228e962278d|660f4df6de70b9c78222bf0523c2c20146dbe110b5cfa2f377b9b5df768e1818|8a058890e5b99ac9c0d128bf22bf933d8ec3f371dd7a3957454bc6996c0b4171|c0ead78f3ed0b22335a168bf99ac02d92354985717e79a54f64c8a15e33e0eee|c2642e942931b1cd7c5c41d4c4e6030447aefe7840566cb08d41f4e797e919be	35e08e3f2b7a7487336c53c07d7483b3a4337bcd3ac6e4055501bb91ba63a19d|6e734c7903e28812c7960605d44c2ea724134ec3d4e62990bbcd3d26fe48b1e1|c2b13f1e4324cd652c0ce19d16a00bb4015ac5f492a718ecc9ab03520bbd3cdb|e2149d67155b75c62a15d6efeee5bb85a8466466c545487d5cb12b1fcdffe2c1|e3a9752786d2d0a42979415ca8d7ae7b37ea78e242c46d4309ed356dcc9cf8d1|fa06a31de85c676f97e7157fe59ed2f4f109d7ee6bef3d451fea58814bb493b1
NM-0011	달대비계	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 달대비계|댐 > 안전가시설작업 > 달대비계|빌딩 > 안전가시설작업 > 달대비계|아파트 > 안전가시설작업 > 달대비계|지하철 > 안전가시설작업 > 달대비계|터널 > 안전가시설작업 > 달대비계	025473b93c2d9a66163c5810d3c306a71cca6224c4ceb011c0e4d623dcb0ad91|0333aab34b4ba4550df52ff68af7e7faf3193d511a9fbc658cb2ac1a6cd85b70|0db87c56a13b4c95d08235f72810ce15451ea4ca9f59099593f5eb2fe4a065ed|60872e5273adef0f3421d29ca5d283c3ea05e86c7b8b137698df20c7d66bff4e|767f8ecf2d84965f8797a281b6a976b75da7d9451c2aec8dd29d4ce81cb4daf2|c1bf51592389a229ea687d3c4f2c914f6ce2948c397c384652b18e1442275526	0fbf56aa888ace63fc9f6420d1826e730dcd18de638bd19fdc051de9aeab85cf|255848a98f2e526ca2752eec36094ed0de8922ec444c2cd2cd64e13b927c306b|7917b6b3052241b851eb8cf220e41d61c46cddf38623a2c831dfc13ef03b1224|be08c8f9ae65656d0f99106dd6460bec1796b1c309ffb6da5f93c31964d50e8d|da7f0d4923a73926ee6a7665a109e727140d0dfba9a6002c05fc3e9764c07268|e008f2587b767b73ade1361179cb669a7eda642562e84e11c69a05723406e02d
NM-0012	달비계	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 달비계|댐 > 안전가시설작업 > 달비계|빌딩 > 안전가시설작업 > 달비계|아파트 > 안전가시설작업 > 달비계|지하철 > 안전가시설작업 > 달비계|터널 > 안전가시설작업 > 달비계	4c5af57f612549c791a31d291e7fa3f90ac0fd1eade9a2e6d3af6c46aca51a62|71cfa013fd7253478c47cbf956c4a63a170621a8b7d71e9246e2903716323541|7b9b9bc403c7216a2712391b82c556a033a2af8077765ab4529a1961287ee088|9a723a7dc44777aa93f5b232a4de9009d7aa8b7acfcddf68c1b14fbee8652eda|ac728de37f1cf8d2d9afc721f3739f6c931b128bdcfa027e0f5bb8748b4e94fc|ffb72b9ac41222168583cb005ac8d4b433c2914891f46f647a2d76631698316c	1afe0741d0a293ca0144abcdabaa8ab5c1e7d52ec5f86f037d825b1973dc3ef0|3290efaeffd119872ee5bfc138a200880363182f7f6cd643f35c5536c85ec920|5102e70123cde40a4b8fe45636aab4d279b9d41c6a9bbb9e323cb72012f8cd81|aeb39e422eee00f41c9ef9d5e401f8a29001c55356521d83f9160c5ed678cbe0|b0b41a0e5d65bb105ed02d089cd2dcb263a56e9deb403b7ab7d93fa2a3264ad4|e5704c6da3a44329c8b384bb01a63540395cbdb5e73eb6df4fcfbb2e1d981d4c
NM-0013	리프트	양중기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 양중기작업 > 리프트|댐 > 양중기작업 > 리프트|빌딩 > 양중기작업 > 리프트|아파트 > 양중기작업 > 리프트|지하철 > 양중기작업 > 리프트|터널 > 양중기작업 > 리프트	00ba29d8b5a56808da3a62b3706804ebc7a428af29ab26588fcff588a68ff769|4b3d09746843f5b9e552999f468737c5d9bc53276db0da70e6523bf55f1dced0|893833e7c50a3da5d1e8b04cceffde3f4d405d9d3fbf0b667403911f91b6b5cf|a46fb402f067d88e1bbc6081eeceaccb787605803cc272f0a7580841644beb5e|cba8e80310356f61cd256cd73d93b6dfe28554144208c9d5de6ccce1ef8d75ca|f5f99963a3972f1afe20099009bed63e2083b86ef723972ae65694e52f118628	2ae1edd0c1d28922f6244cdd073e282222c8d4134f9799e215f2f3f7a0050114|3d773c30583b296c54450071de671fcf31ec52357456dedd776630e4b9efab82|5ac8a449bfecc8a72fea9bf5090646c4d9d6e84f1b86c4763df591e9b9a10947|73c02722f5c8e28a32ea5b5ae1430347d930317b21669ab89f7881ce63c406f2|74179e5d289b11be8b08c6906c38f78aa4a4425277bcc7549050127916639d80|f9708398cfd8f13d96d563e9b1d539091e309270346f6d67434d37904fed5b7e
NM-0014	리프트승강부 출입문	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 리프트승강부 출입문|댐 > 안전가시설작업 > 리프트승강부 출입문|빌딩 > 안전가시설작업 > 리프트승강부 출입문|아파트 > 안전가시설작업 > 리프트승강부 출입문|지하철 > 안전가시설작업 > 리프트승강부 출입문|터널 > 안전가시설작업 > 리프트승강부 출입문	21e654e0f371a7cfb026cfdbe54535e2ce7953f7a0326293f144c8613480092d|5412857604b4b9d1b6c7dca1caf0ba625a39194d487d50e4e4b9f830916a834d|6244f24b080eedc78f7b1394be533fdbb6d1b78a22ac8abc1d4671ee4f5ba149|64075dc30304d3b343312ef80e5bd4a916351350135f7f7c9db960891c64fcb1|b8699afc19e14cab7e4c565b3fd73f01305a1b7738354923f49c45915795442b|f13264de9da35d20823761e26739d96a3ccfceaa5e483d7fdbe43fb94daff541	2725a167b89e81667f068ebb355cf352cdbcc40971dc2f713985ad1bfe5fd3b1|4482536e5dfc1af60e1c3b73e2a34cff839b0912dc319265c8b4e6ad9e2a2a1e|75f98d169c983113d072aa5f671e4a923fc038162471af9eb2fc88ffa41c004c|879f54e43b8336c141aeed703c6937712661df1c3f3c1eea2a18facac6bbc289|bfca56d66c55eb640dcc8eded6d1c031a66a6a27829cd72aa44dbd6983c89d04|c5dc319015c881a1a1133394756d5619ee49042f02d15efb49e263a0389bee09
NM-0015	목재가공용 둥급톱	위험기계기구작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 위험기계기구작업 > 목재가공용 둥급톱|댐 > 위험기계기구작업 > 목재가공용 둥급톱|빌딩 > 위험기계기구작업 > 목재가공용 둥급톱|아파트 > 위험기계기구작업 > 목재가공용 둥급톱|지하철 > 위험기계기구작업 > 목재가공용 둥급톱|터널 > 위험기계기구작업 > 목재가공용 둥급톱	2b65ddd9453ed4e5895a5fa5c35a7fdbc6c134a76cd3f9df9a973ea1a0dec475|2d56bd385b7e44721af00460e820b78429c318396da6891afc5bfa1249dcb59a|3bc97d5486990fc4ba0c6a8f62c5c07b5193aff52d3dfe6432d8ada298e94c8b|91c749244414111aae594b1df9d6100225258071f236330207777481ea96eb55|a60d460a66e9754bd8cf2b39e815ea1bf3011b7d838b44da65097ec277e9dfb6|f3d6fc39db7e16f7fa5cecede2eb5f8e9b8b86fa0501a02c325e07f0a594022b	366e0193a0135dc61cd3fa86b8dd482ecd6a0a045b996379220144be502444c6|6f038dc372f73f03c9138c752e96dd55b7288633bccdb4d6f47fe59f11e7ea74|821f6aa390740b166a4b434f47639e50db7e9dc52445bc0ae52e4f0fbdaf3c87|8b98825510dc28b6ba15b4643066b5858b5b8eb809903deabeae9898737f5e6e|a52efcc258b97140579fa0bffaebada0141ebb6e469b16cd6735eec61f143a02|a83ee8924733fb414aec18c77c0eac9e88196a33316661435c9ffe931d69bbb6
NM-0016	몰탈 믹서기	위험기계기구작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 위험기계기구작업 > 몰탈 믹서기|댐 > 위험기계기구작업 > 몰탈 믹서기|빌딩 > 위험기계기구작업 > 몰탈 믹서기|아파트 > 위험기계기구작업 > 몰탈 믹서기|지하철 > 위험기계기구작업 > 몰탈 믹서기|터널 > 위험기계기구작업 > 몰탈 믹서기	401e806b0e7a8138e2dda5dfbf53997a6fbb00383b2909ce27c4a1592706ddb8|510b9b35d3e47a41c0c2e03fdead92fe33c94022865205442b7ca5d534f19735|9585ece24b489141145a98aff86e1953800a08ead414ab453148e55da2bd67ee|9e83c8e9d66dd94e29feeeeb9371fc0649aef84c119e82974505774e54a4228e|ab14aeef53fe121eb7c641591f8053892a3fa6530708160a03834e16f2f1f9f1|d3a5895f50e77c1bd957645b1ad778f04605a3ddd9d6691a0e8c0aad912b5dea	3d28ff27ac74fd92b90d280382f08dc758fee1268e93998fe98f751758a63aac|3edd5d020fdf3efdb0696191d7a1be4a862a5a19d630460d943069bd12ff2b35|4ca5a37cdc34595e425eb02d1220608e2c0acd8de85f190371d0feb9e423a9e4|dc8df47adbdb30208eaf391d00f548c48e3b2dd6b259fc9176f3fb8d1668e692|e7e1a3d92ea7a5b6dfb22dc8a6ee1b3e4d737b638729ebeb6c160d7188473286|fde2bd33e1fd96f3abd29bcd72d48c21d9602bf484821bb3eef5bb6e3b32dde7
NM-0017	방호선반	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 방호선반|댐 > 안전가시설작업 > 방호선반|빌딩 > 안전가시설작업 > 방호선반|아파트 > 안전가시설작업 > 방호선반|지하철 > 안전가시설작업 > 방호선반|터널 > 안전가시설작업 > 방호선반	8a4cad9e322e978697d142a1c5b61c22d74ee04c3a602aa21353607061d314ba|954630dad6e76e39f0187bdeb50a8b705832882351a413182834e13cb23a98d6|aa7efc2d21d91e85b8919bd4f580ac49dde575fd56294a0cb6aec3a1eb956dd9|ad223fa0c12e0f089fdb9f322ada6a0c01fab88c11b69a61f3a705e8ef459875|e22fcc8b4b46bed935679ad63810b2d04c6a3015527a5bf936fc360472833be5|fe2194f709349b372340503774dde86c1aed8aadc1f73071daa4be3967385bc4	073fe39243dc26126e077c5e3a9d7e9b22721ba1252e08b81e97df17a9b56498|391c743f4ee848fe0a0c59b57b2e41b7f5b49c8424534d7d03b4da0ca7afbdb4|3b733b920b79304a3a08f4e17d1d672dda87223c6a75310431e660b00ce739f0|54a94bfc9d43e393580686e89aadddca71b5807b162a7ac1e443d16f006a8cc6|5935f427d146860c004bf85d9213ee01e6a2fdd3798f71a05af14ea0e34b06f8|e6c4aa3229a87abdf3d6a2675358e7ffaca81c1c52f6e45d4ae7a4baf40fe024
NM-0018	분전반	가설전기작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 가설전기작업 > 분전반|댐 > 가설전기작업 > 분전반|빌딩 > 가설전기작업 > 분전반|아파트 > 가설전기작업 > 분전반|지하철 > 가설전기작업 > 분전반|터널 > 가설전기작업 > 분전반	1fa812e710662dace7089a8d23e840f09e75dd1cdff5ac709e771abe6d4280ee|31505f8fbc58bbeb40a3a3bc41148d3c5a99987512827c921715684b43c5ff5a|3dcd72bd508086db29038b01d3910670e621c0c1f34c74eeba2d3da8d9799640|87812f7b4327b18019c61f6aecfb8cf4958d62fe96e74522ec52cdf0ef6d8973|b5d7cf37e466f81945aed62445f5932f182ce4ea0cf10f6f0b4e3b639959b5c8|e49c70fb6ce8fdd5e6a7d322e8cae481d14c4f153f4c8ac19c626f69198a38fb	0694f415bddc74eae3f7ae4e981914cfed1e82bbd37c67aee59340535b117908|59603fcac4f8e6ee8cc7e467659ed32142b84e4f5f0b8a00a887d5f4cf83ed63|a9a5acab808229853051c0edc657bd04a3ef31ff8e88465773c5eb61e51829d9|c7c14e61ac0bc329d9aa5ff8a8c20beb0c7614a78b1e2ad2396a62c5ecfad8d6|e1f84c8e7c24dac21a1685226b001daf072ae296f357b7aebf2312596111f9df|e5bcc2db95c4450d5af06846cfb7a7a7d9f890c95cb0c095dafcd0ab3dc395dd
NM-0019	비계	안전가시설작업	6	교량 및 도로|댐|빌딩|아파트|지하철|터널	교량 및 도로 > 안전가시설작업 > 비계|댐 > 안전가시설작업 > 비계|빌딩 > 안전가시설작업 > 비계|아파트 > 안전가시설작업 > 비계|지하철 > 안전가시설작업 > 비계|터널 > 안전가시설작업 > 비계	0cab5d60242928dc7064503f17756e1e279752b1f51f19b3059c426a6fe6acc5|33399d94566123e4589585b28b9676b2f61a0099a7bb41b3711291f44d9273c4|4935d0c38198cf4ed439b0cb93fe7b47003175f92fa830200ec46459a40a28c1|a7be26d74665fc5d1dfdec94c2c7ab661a1dbf115aad0e9757fce0e92dfc6b3c|bd53f624ce2f40f27a1662d195acbbdddeac97a2bf0e6fb2d7cc8ffb13b02c38|be0e3662cbd0cd047ffab85681df94b9408dff894fc5202d31a32d6247c11ffa	714d8c08d67942ed14f6ec300bf91d81c0aa4372c04fb5e1fea08db1008f6b63|8db8e508c32e7fdd941f485550da23576c9537805706912bd0b2d55306a50dad|93a704dc81656b77da166bb54935fb2312f613a6eecb5397b337efb681dd8ae0|9cd9b085c33cfeb626a01bc28283e668b6547498b4c9d461792f6c0f6da61d4c|d8125c0492071664a5fca41960e73a7c3241e0c7e8c785eade83c1701f330e21|f00495f47da5244e3ff84747c8091d272a9ac8e91aca585e27160ea50abfde9a
