batch_no	seed_proposal_key	kind	name	source_id	source_key	source_path	parent_path	grandparent_path	depth	is_leaf	child_count	sample_children	support_count	risk_content_support	source_occurrence_support	same_name_count	same_name_compatible_kind_count	same_name_incompatible_kind_count	same_name_paths	risk_sample_1	risk_sample_2	risk_sample_3	mechanical_flags	generator_review_status	generator_ambiguity_status	owner_decision	merge_candidate_keys	owner_reason
1	e3f1c96f3daa34bff9a644b8e17743ef0bfde3a1bcc201fe245568d6a901a517	TASK	굴착작업	KALIS_RISK_PROFILE	50b433c1451221bded4c5446bf7e278229c545f62d931ce4f7887b4ae2edfe1c	토목 > 토공사 > 굴착작업	토목 > 토공사	토목	3	YES	0		1	2438	3301	31	31	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지반조사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 굴착작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 굴착작업 | KALIS_RISK_PROFILE:기타 > 기타 > 굴착작업	객체=건설기계/굴착기; 위치=인접주변/굴착기/바닥; 원인=안전조치 부적정; 인적=깔림; 물적=전도; 가능=L(2); 심각=H(4)	객체=건설기계/굴착기; 위치=외부/굴착기/뒤; 원인=비평탄 지반 설치 및 작업구역 통제 미흡; 인적=부딪힘; 물적=전도; 가능=M(3); 심각=M(2)	객체=토사 및 암반/절토사면; 위치=외부/절토사면/상부(위); 원인=비탈사면 보강공 안전성 검토 미흡; 인적=끼임; 물적=붕괴; 가능=H(4); 심각=M(2)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
2	a32bd6e6f4ca8dcf6449293805d06f15267a6dfe8df9d3cda41f63e210c96835	TASK	설치작업	KALIS_RISK_PROFILE	000dc031efd7a9e83515866c879b62ced7f35b5269ec2da5686ea40dcc199c87	토목 > 가설공사 > 설치작업	토목 > 가설공사	토목	3	YES	0		1	2128	2749	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=가시설/비계; 위치=외부/비계/상부(위); 원인=비계 구조 안전성 부족; 인적=떨어짐(10미터 이상); 물적=붕괴; 가능=M(3); 심각=M(3)	객체=가시설/시스템동바리; 위치=내부/시스템동바리/하부(아래); 원인=구조안전성 검토 미실시; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/비계; 위치=인접주변/비계/하부(아래); 원인=설치불량; 인적=떨어짐(분류불능); 물적=붕괴; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
3	c4ab6dcd8c14e0a41e80aa19b1ca80cd2706bd5016577c308e6c09fa5a4c7177	TASK	타설작업	KALIS_RISK_PROFILE	3c95857535d514d4d505930e0362872b14c69f5e86ef07a8444eb45407738dca	건축 > 철근콘크리트공사 > 타설작업	건축 > 철근콘크리트공사	건축	3	YES	0		1	1458	2450	23	23	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 타설작업 | KALIS_RISK_PROFILE:기타 > 기타 > 타설작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 타설작업	객체=가시설/시스템동바리; 위치=내부/시스템동바리/고소; 원인=구조검토 미실시; 인적=떨어짐(5미터 이상 ~ 10미터 미만); 물적=전도; 가능=H(4); 심각=H(4)	객체=가시설/시스템동바리; 위치=내부/시스템동바리/상부(위); 원인=구조검토 미실시; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/강관동바리; 위치=내부/강관동바리/상부(위); 원인=임의시공 및 조립불량; 인적=깔림; 물적=붕괴; 가능=L(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
4	eb840a219732456c6b3122ff7e7c0acc79e5afb0351c5a21ee3712342b78cef8	TASK	설치작업	KALIS_RISK_PROFILE	6122964f50c7a3a2a72d4e9d54fc6953eb89dbe8bbda6dd0ac52234e42bfb117	건축 > 가설공사 > 설치작업	건축 > 가설공사	건축	3	YES	0		1	1029	1380	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=가시설/비계; 위치=외부/비계/상부(위); 원인=조립불량; 인적=떨어짐(분류불능); 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/비계; 위치=외부/비계/상부(위); 원인=조립불량; 인적=떨어짐(5미터 이상 ~ 10미터 미만); 물적=전도; 가능=H(4); 심각=H(4)	객체=가시설/흙막이가시설; 위치=내부/흙막이가시설/상부(위); 원인=흙막이 토류판 강도 부족; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
5	57839066978061669f87361165737c28b9c1a8293bdc3fe07cbcfeb0692bbac1	TASK	굴착작업	KALIS_RISK_PROFILE	85fd02acec1d699ea0a4c5d49c0b8ae22f8a0789f3b6ea15caaead7d7ec379b1	건축 > 건축 토공사 > 굴착작업	건축 > 건축 토공사	건축	3	YES	0		1	990	1525	31	31	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지반조사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 굴착작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 굴착작업 | KALIS_RISK_PROFILE:기타 > 기타 > 굴착작업	객체=토사 및 암반/굴착사면; 위치=외부/굴착사면/바닥; 원인=우수유입방지대책 미흡; 인적=깔림; 물적=붕괴; 가능=H(4); 심각=M(3)	객체=가시설/흙막이가시설; 위치=외부/흙막이가시설/하부(아래); 원인=지하수 등 유입수; 인적=깔림; 물적=전도; 가능=H(4); 심각=H(4)	객체=토사 및 암반/굴착사면; 위치=인접주변/굴착사면/지하; 원인=우수유입 방지대책 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
6	b884c575a6056ed309d8f2e0d5b403416abb2f83ee5785483d0d5f1f2c66a092	TASK	설치작업	KALIS_RISK_PROFILE	5f93221a423abf12677f5b93f3c3010718ae1f9001503ffee7b041f964c31de8	건축 > 철근콘크리트공사 > 설치작업	건축 > 철근콘크리트공사	건축	3	YES	0		1	964	1790	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=가시설/작업발판; 위치=내부/작업발판/하부(아래); 원인=작업발판 난간 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(2); 심각=M(4)	객체=가시설/강관동바리; 위치=내부/강관동바리/상부(위); 원인=임의시공 및 안전조치 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(4)	객체=건설자재/철근; 위치=내부/철근/상부(위); 원인=철근 안전캡 미설치; 인적=찔림; 물적=없음; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
7	e2006ef2b754341c9377bcf9ef47df728855d46dabd9fdf4eb07ce6463403fda	TASK	설치작업	KALIS_RISK_PROFILE	cb1da1f4d48a41118652aabd9f28b9cd2ca782be7b3aa2375a3833c5b1ecd9c6	토목 > 토공사 > 설치작업	토목 > 토공사	토목	3	YES	0		1	654	830	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=시설물/옹벽; 위치=외부/옹벽/하부(아래); 원인=재해영향평가 대책 미반영; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=H(4)	객체=건설기계/특수건설기계; 위치=외부/특수건설기계/바닥; 원인=지반 지내력 검토 미흡; 인적=깔림; 물적=전도; 가능=M(3); 심각=M(3)	객체=가시설/흙막이가시설; 위치=외벽/흙막이가시설/옆; 원인=벽체 측압 과다; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
8	9e8e1a55464f547b0e9d502829e7f900d9b8f36fd7d583ed523e7dabeb698d46	TASK	굴착작업	KALIS_RISK_PROFILE	df1a5e2b5e585a68ef0ed6ab52001aca7fd6c6da0d132cc5027c1f6123a0f95b	토목 > 가설공사 > 굴착작업	토목 > 가설공사	토목	3	YES	0		1	599	895	31	31	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지반조사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 굴착작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 굴착작업 | KALIS_RISK_PROFILE:기타 > 기타 > 굴착작업	객체=가시설/비계; 위치=외부/비계/상부(위); 원인=사전작업허가제 미시행; 인적=떨어짐(5미터 이상 ~ 10미터 미만); 물적=파열,파단; 가능=M(3); 심각=M(3)	객체=가시설/흙막이가시설; 위치=내부/흙막이가시설/바닥; 원인=흙막이 가시설 미설치; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	객체=가시설/흙막이가시설; 위치=내부/흙막이가시설/옆; 원인=작업허가제 미도입; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
9	2d11769704bcf2adead6f2d68ba7620017f20dc5d66c99fd1f173f333dddf1db	TASK	굴착작업	KALIS_RISK_PROFILE	edcd366ee1c0d9d6f69529b81f9cdca359d959bd5c565545f74eb79e63f9502f	토목 > 관공사 > 굴착작업	토목 > 관공사	토목	3	YES	0		1	575	834	31	31	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지반조사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 굴착작업 | KALIS_RISK_PROFILE:건축 > 해체 및 철거공사 > 굴착작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 굴착작업 | KALIS_RISK_PROFILE:기타 > 기타 > 굴착작업	객체=토사 및 암반/굴착사면; 위치=내부/굴착사면/지하; 원인=우수유입 및 지하수 침투; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(3)	객체=토사 및 암반/굴착사면; 위치=내부/굴착사면/지하; 원인=굴착구간에 대한 배수계획 미수립; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=M(3)	객체=토사 및 암반/굴착사면; 위치=내부/굴착사면/지하; 원인=우수유입 및 지하수 침투; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
10	1d9365519258d775e61bf1941c76a5b2181b78673302f99f266d10b37903474a	TASK	타설작업	KALIS_RISK_PROFILE	2c8f874ff2e97df3f4ec0223725a69405f9b3bebc60a68a861bc0176359715a1	토목 > 철근콘크리트공사 > 타설작업	토목 > 철근콘크리트공사	토목	3	YES	0		1	559	748	23	23	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 지정공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 타설작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 타설작업 | KALIS_RISK_PROFILE:기타 > 기타 > 타설작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 타설작업	객체=가시설/거푸집; 위치=내부/거푸집/상부(위); 원인=거푸집 구조 안전성 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=H(4)	객체=가시설/거푸집; 위치=인접주변/거푸집/옆; 원인=콘크리트 과다측압; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=M(3)	객체=가시설/시스템동바리; 위치=내부/시스템동바리/상부(위); 원인=시스템 동바리 구조검토서 미작성; 인적=깔림; 물적=붕괴; 가능=H(3); 심각=H(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
11	6ce091b7327b62680a97e1c4e649999a65144bf7c7754327a8e5754e5565746b	TASK	설치작업	KALIS_RISK_PROFILE	279f5b5057fc5fb8ce4b04db372c20e67d5695da75fdbd4d7c7de9a72c3ae50c	토목 > 철근콘크리트공사 > 설치작업	토목 > 철근콘크리트공사	토목	3	YES	0		1	470	548	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=기타/기타; 위치=외부/기타/하부(아래); 원인=폭염 시 휴게시설 미확보; 인적=질병; 물적=없음; 가능=M(2); 심각=M(3)	객체=시설물/옹벽; 위치=외부/옹벽/상부(위); 원인=구조 안전성 미검토; 인적=깔림; 물적=붕괴; 가능=M(3); 심각=H(4)	객체=기타/기타; 위치=외부/기타/하부(아래); 원인=폭염 시 휴게시설 미확보; 인적=질병; 물적=없음; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
12	12b94b80fb5514c7623c43171e881e5b84c98887a14d67c55f18209291526316	TASK	설치작업	KALIS_RISK_PROFILE	61aaa2147235271432668ebee20fa892a84e7eb533b09047c3cdd4204fac4835	토목 > 관공사 > 설치작업	토목 > 관공사	토목	3	YES	0		1	453	597	45	45	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 도장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 목공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 미장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 방수공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 설치작업 | KALIS_RISK_PROFILE:건축 > 조경공사 > 설치작업	객체=기타/지하매설물; 위치=내부/지하매설물/상부(위); 원인=접근통로 표준 규정 기준미비; 인적=떨어짐(3미터 이상 ~ 5미터 미만); 물적=파열,파단; 가능=M(2); 심각=M(3)	객체=기타/지하매설물; 위치=내부/지하매설물/상부(위); 원인=접근통로 표준 규정 기준미비; 인적=떨어짐(3미터 이상 ~ 5미터 미만); 물적=파열,파단; 가능=M(2); 심각=M(3)	객체=건설기계/고소작업차(고소작업대 등); 위치=내부/고소작업차(고소작업대 등)/상부(위); 원인=작업대 임의 개조; 인적=떨어짐(2미터 이상 ~ 3미터 미만); 물적=없음; 가능=L(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
13	9d01f9cfbc6c92ee2e177912475748fac3ab3e5167424e4f9e22c716a2d09cdb	TASK	조립작업	KALIS_RISK_PROFILE	ec7641a5d30bc1a5255dc97c05ae34b4c4320822820bec12fa93c2706ad32b15	토목 > 철근콘크리트공사 > 조립작업	토목 > 철근콘크리트공사	토목	3	YES	0		1	420	617	22	22	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 조립작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 조립작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 조립작업 | KALIS_RISK_PROFILE:토목 > 가설공사 > 조립작업	객체=건설자재/철근; 위치=인접주변/철근/하부(아래); 원인=철근 전도방지 미조치; 인적=깔림; 물적=전도; 가능=M(3); 심각=M(2)	객체=건설자재/철근; 위치=외부/철근/상부(위); 원인=철근보호캡 설치누락; 인적=찔림; 물적=파열,파단; 가능=M(3); 심각=M(3)	객체=건설자재/철근; 위치=인접주변/철근/옆; 원인=전도방지 조치 미실시; 인적=깔림; 물적=전도; 가능=L(2); 심각=H(4)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
14	780c053696f6bdf5c9c88c1ecbc25267bf6bc69ab744171463bc07895d40e863	TASK	조립작업	KALIS_RISK_PROFILE	c4f4330ce0a4489d2bc010cd7c651e6e0b05db192f3eba5f11f85d50ab13d7f7	건축 > 철근콘크리트공사 > 조립작업	건축 > 철근콘크리트공사	건축	3	YES	0		1	408	657	22	22	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 금속공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 수장공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 철골공사 > 조립작업 | KALIS_RISK_PROFILE:건축 > 철근콘크리트공사 > 조립작업 | KALIS_RISK_PROFILE:기계설비 > 기계설비공사 > 조립작업 | KALIS_RISK_PROFILE:산업설비 > 가설공사 > 조립작업 | KALIS_RISK_PROFILE:토목 > 가설공사 > 조립작업	객체=부재/벽체; 위치=내부/벽체/지하; 원인=전도방지조치 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(4)	객체=부재/벽체; 위치=내부/벽체/지하; 원인=전도방지조치 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(4)	객체=건설자재/철근; 위치=내부/철근/상부(위); 원인=전도방지조치 미흡; 인적=깔림; 물적=붕괴; 가능=M(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
15	671f0c3202b6a818b4ea89e74ed3255aabc7cee488b93bfabaa246adfec53359	TASK	이동	KALIS_RISK_PROFILE	adaf772ee52c5f2e663f79bcaa67d078b71511e92344cffc425de2e41bd4bb5b	토목 > 가설공사 > 이동	토목 > 가설공사	토목	3	YES	0		1	403	606	34	34	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 이동 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 이동 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 이동 | KALIS_RISK_PROFILE:건축 > 금속공사 > 이동 | KALIS_RISK_PROFILE:건축 > 도장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 미장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 수장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 이동 | KALIS_RISK_PROFILE:건축 > 지정공사 > 이동 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 이동	객체=가시설/안전시설물; 위치=인접주변/안전시설물/상부(위); 원인=안전시설 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(3); 심각=M(3)	객체=가시설/가설도로; 위치=인접주변/가설도로/바닥; 원인=과속주행; 인적=부딪힘; 물적=전도; 가능=M(3); 심각=M(3)	객체=가시설/안전시설물; 위치=인접주변/안전시설물/상부(위); 원인=안전시설 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(3); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
16	dcde8d4792b2b698f4465198a8e889e75045f0613c4422a6c3766d62571c840f	TASK	이동	KALIS_RISK_PROFILE	33a19b557d35741aca8df8343cf28c6eb5a8a0dbcc37bfa5c1160dcff1ced5b0	토목 > 토공사 > 이동	토목 > 토공사	토목	3	YES	0		1	372	503	34	34	0	KALIS_RISK_PROFILE:건축 > 가설공사 > 이동 | KALIS_RISK_PROFILE:건축 > 건축 토공사 > 이동 | KALIS_RISK_PROFILE:건축 > 건축물 부대공사 > 이동 | KALIS_RISK_PROFILE:건축 > 금속공사 > 이동 | KALIS_RISK_PROFILE:건축 > 도장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 미장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 수장공사 > 이동 | KALIS_RISK_PROFILE:건축 > 지붕 및 홈통공사 > 이동 | KALIS_RISK_PROFILE:건축 > 지정공사 > 이동 | KALIS_RISK_PROFILE:건축 > 창호 및 유리공사 > 이동	객체=건설기계/덤프트럭; 위치=인접주변/덤프트럭/뒤; 원인=작업반경 내 접근; 인적=부딪힘; 물적=충돌; 가능=L(2); 심각=M(3)	객체=가시설/흙막이가시설; 위치=내부/흙막이가시설/지하; 원인=안전난간 미설치; 인적=떨어짐(분류불능); 물적=없음; 가능=M(2); 심각=M(4)	객체=건설기계/덤프트럭; 위치=인접주변/덤프트럭/뒤; 원인=작업반경 내 접근; 인적=부딪힘; 물적=충돌; 가능=L(2); 심각=M(3)	IS_LEAF|SAME_NAME_MULTI_PARENT|HIGH_RISK_SUPPORT	HOLD	HOLD	PENDING	EMPTY	EMPTY
